,chapter,senten_num,sentiment,person
169,3,92,0.9970349158050663,李诗情
170,3,93,0.44237385208872904,李诗情
171,3,97,0.4676671201000093,肖鹤云
172,3,97,0.4676671201000093,张警官
173,3,98,0.7498894774246816,肖鹤云
174,3,99,0.9575693326206572,李诗情
175,3,100,0.9669563819074363,肖鹤云
176,3,100,0.9669563819074363,李诗情
177,3,101,0.9384251915408343,肖鹤云
178,3,101,0.9384251915408343,张警官
179,3,102,0.9639302026189949,李诗情
180,3,102,0.9639302026189949,张警官
181,3,103,0.8898503452821124,肖鹤云
182,3,104,0.4841614967689204,李诗情
183,3,106,0.9993432932088446,李诗情
184,3,112,0.05505716240936964,肖鹤云
185,3,112,0.05505716240936964,李诗情
186,3,115,0.9864120709871067,肖鹤云
187,3,119,0.5933258601462934,肖鹤云
188,3,120,0.3009431815886805,李诗情
189,4,2,0.8111156077654065,李诗情
190,4,3,0.8490883385561476,肖鹤云
191,4,4,0.9282629555122889,肖鹤云
192,4,5,0.9623684629750455,肖鹤云
193,4,7,0.9476748409595033,李诗情
194,4,8,0.8963454003079274,肖鹤云
195,4,10,0.9831787776922669,李诗情
196,4,12,0.6139379886431877,肖鹤云
197,4,12,0.6139379886431877,李诗情
198,4,13,0.5981220357524786,李诗情
199,4,14,0.4750903503227777,李诗情
200,4,16,0.9308431735781686,肖鹤云
201,4,16,0.9308431735781686,李诗情
202,4,19,0.09729547682015549,张警官
203,4,23,0.7073295495969584,肖鹤云
204,4,23,0.7073295495969584,李诗情
205,4,27,0.6539770482317604,肖鹤云
206,4,27,0.6539770482317604,李诗情
207,4,31,0.9602448216749473,肖鹤云
208,4,32,0.988759441446892,李诗情
209,4,35,0.9866461931820739,肖鹤云
210,4,38,0.009571260157513528,李诗情
211,4,40,0.9723094848214457,肖鹤云
212,4,40,0.9723094848214457,李诗情
213,4,41,0.7598595394786292,李诗情
214,4,42,0.8966552084302324,肖鹤云
215,4,44,0.004149841428804368,李诗情
216,4,46,0.3954018966344859,李诗情
217,4,52,0.9762094888646452,肖鹤云
218,4,56,0.014031942405939857,李诗情
219,4,57,0.1531984945456245,李诗情
220,4,58,0.8672252959205983,肖鹤云
221,4,58,0.8672252959205983,李诗情
222,4,59,0.9737056054516979,肖鹤云
223,4,61,0.9312356359294283,肖鹤云
224,4,62,0.42601009338739915,李诗情
225,4,70,0.9840938242584053,李诗情
226,4,74,0.22958286117695315,李诗情
227,4,75,0.9554732761738614,肖鹤云
228,4,76,0.9700289749846353,肖鹤云
229,4,78,0.911292773214341,肖鹤云
230,4,80,0.2698528999936537,李诗情
231,4,83,0.8854124223233483,肖鹤云
232,4,84,0.9387462881715335,肖鹤云
233,4,89,0.25345175670113096,李诗情
